"X","fov","volume","center_x","center_y"
8214,1516,537.164526299707,10419.3666920353,6761.7981378729
7904,1517,603.042304465205,10667.4347452588,6606.88080732482
7946,1517,591.003052354313,10652.4703738893,6661.42116298015
714,1525,419.174870889687,10014.1737134198,6801.30846529054
40368,1526,1856.99453767504,9955.06148479597,6955.71766986537
30287,1527,255.474671437402,9675.66798154831,6870.10530530129
30532,1527,211.53553035814,9666.03776586632,6810.23474430964
51272,1528,435.898070619348,9541.23292095855,6843.59686994228
38862,1529,580.615578139762,9300.00294711956,6859.25276462224
28102,1530,1059.37985446295,9032.60216946182,6965.72692768576
38524,1530,463.760093845313,9093.32825889889,6970.34544225538
29040,1531,248.648039473234,8940.5048446305,6814.16464493496
31934,1536,626.556957318714,7734.88546623602,7005.2765140402
34810,1537,314.764892604404,7350.33904260794,6825.25221792782
36042,1538,353.265013187924,7207.77458830897,6829.98164489327
10763,1540,476.829099651402,6760.36913450853,6963.86262271161
35811,1540,269.497799986973,6889.99946928556,6854.45719760981
47421,1540,796.411274768331,6933.67020629406,6854.48338251013
47484,1540,588.154405799275,6929.23273251425,6899.76211126631
47718,1540,199.38361705557,6916.3006431529,7026.68908659272
48368,1540,206.53684741612,6864.89919458966,7020.59619626115
10844,1541,716.089739193309,6595.49992832816,6997.32617585914
10908,1541,165.71926974336,6735.86313991549,7021.66830191967
11336,1541,294.574492098675,6658.91390291899,6877.58511840473
10546,1542,556.450079075427,6531.92607124706,6841.86903225724
43124,1542,510.029802429098,6393.25405222518,6869.39274946965
48548,1545,140.354016951939,5793.9832067106,6851.66799586731
48589,1545,431.071546343733,5819.37511870539,6881.6034223496
44494,1546,511.67860957794,5590.67905178352,7041.19772566196
48728,1546,476.602846563916,5618.2187855,6938.61534091319
44376,1547,287.65653733169,5404.2559334632,6958.1518432303
44454,1547,627.250530021317,5441.05308601069,7014.61087788954
44503,1547,230.110420675933,5432.57453864586,7042.19015262911
44413,1548,469.940314051953,5297.47045692914,6985.76167787404
28157,1549,115.932527805446,5019.80940571313,7107.70746398634
28226,1549,307.497469572383,5114.60611389363,7213.65212662857
28369,1549,312.716151764114,5033.97649339469,7249.25140530282
44630,1550,619.121583045829,5265.31555341202,7110.53206443481
43947,1551,925.662060252152,5511.80174731117,7126.34311634262
43811,1552,202.380188266422,5560.2276064664,7073.57480448703
44683,1552,292.53209524487,5596.3537291101,7139.63724980348
49233,1553,1378.6602646895,5913.09521802715,7169.33789566157
49829,1553,581.705475016078,5741.99526691467,7230.5334344571
43002,1555,262.033119442511,6261.07871696866,7234.79276309949
11137,1557,616.573158020113,6543.67712483791,7199.54046159692
10931,1558,1337.05485477148,6801.45845839343,7037.50634817371
10955,1558,167.83115316644,6900.10405713118,7049.04348775092
47795,1559,410.442270191894,7141.07115379362,7071.70895519375
48041,1559,1198.69285083002,6959.7006246917,7203.82124411996
47798,1560,320.870571871217,7163.47060503096,7075.64809300632
47943,1560,837.323386803229,7228.7952132367,7152.58549536171
50510,1561,345.114234579338,7531.25730165336,7194.92700555128
50912,1562,226.6309534068,7611.38375347075,7023.58431790592
31961,1563,444.0567912448,7768.91245429258,7074.81567357062
32237,1563,762.304762844426,7846.29279375167,7218.16713531346
38675,1568,493.850744375094,9280.28600901593,7083.78088332022
51674,1569,159.469544913283,9537.93012869579,7186.23763012943
51928,1570,465.905401768722,9669.97759607286,7081.40371384727
40446,1572,1119.6108814662,10135.5846688453,7013.24215010103
40447,1572,1754.19566499107,10160.5886943492,7016.77933564863
40469,1572,1004.68753634205,10102.5689848526,7029.60076830174
37476,1573,1305.0367335927,10318.5802445155,7101.49660930566
40601,1573,910.034693714388,10274.3209986416,7150.31190856015
37242,1574,1350.37571349666,10388.3624843066,6987.60911127381
37339,1574,560.155305112712,10495.3234016315,7025.41753848302
37395,1574,1116.83030449587,10458.0766528066,7048.91905804033
37519,1574,180.988753457252,10381.6616414776,7141.79737005367
37690,1574,473.365837775064,10556.8830330703,6989.03156429336
37294,1575,815.158363590104,10720.0061072868,7010.2262949169
37753,1575,303.702186745513,10592.9740011474,7023.93839665601
31339,1576,675.736196930893,10938.0712129071,7175.60781786232
31348,1578,401.604986907336,10945.4204907884,7195.63650995002
31375,1578,362.811419533401,10963.4541695371,7258.64131280156
40713,1582,1699.91380363956,10088.3746465473,7261.61007923916
51747,1583,2478.47474995655,9778.2111100264,7247.7276902755
46647,1584,1382.04544435213,9714.60359410745,7395.13270973569
46654,1584,672.09204023807,9627.29443126586,7394.65428945547
51969,1584,645.354092466575,9706.78215879291,7230.9115601767
51750,1585,881.875529007162,9469.67637227449,7240.05566352109
32244,1593,701.770057290948,7813.77463474955,7222.13909186489
32285,1593,781.858023519695,7890.30974668766,7250.50031209253
32350,1593,1446.73917850646,7827.81134352661,7338.09182094626
32353,1593,966.069209245527,7918.65466603688,7343.9789451047
32542,1594,718.342634148301,7729.84531842014,7360.14906608576
50620,1594,419.99013434597,7607.90788764185,7258.8472500977
51200,1594,292.752230940242,7695.28804940469,7250.05076564983
5679,1594,184.716071905384,7632.98603431093,7374.33679786565
6631,1594,320.240738984308,7745.7688745724,7396.81359205189
5587,1595,759.925274470269,7525.45347828206,7331.81530092433
5682,1595,346.038559125863,7496.83518659933,7376.59551240803
48515,1596,817.324964291863,7177.66553489945,7254.92608225441
6521,1596,462.307428265478,7332.60136004188,7336.26180440339
60381,1597,226.424349790828,7026.89366767296,7395.90220077251
41527,1598,712.527804669089,6837.68061725566,7333.41842588971
41598,1598,545.561782042824,6877.5280111363,7365.6129217422
48139,1598,146.608679842069,6855.15599698256,7252.32513424979
