"cell","CXCR2","CLCA1","SIGLEC1","EPHB3","IL23A","CCR8","MUC4","SERPINA1","GZMK","FCGR3A","IKZF2","Blank.19","HLA.DQA1","KDR","IKZF4","PKM","ITGA4","Blank.27","MARCO","HLA.DRA"
60838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29513,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,17,0,0,0,0
18096,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,11,0,0,0,1
12815,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,0,0,0,9
51272,0,0,0,0,0,0,0,17,0,0,1,0,0,0,0,37,0,0,0,1
30131,0,0,0,0,0,0,0,19,0,2,2,0,0,0,0,92,0,0,1,12
11580,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0
26613,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
57891,0,0,0,0,0,0,0,9,0,0,1,0,0,0,0,25,0,0,0,10
714,0,0,0,1,0,0,0,15,0,0,0,0,0,0,0,54,0,0,0,4
32353,0,0,0,1,0,0,0,35,0,0,3,0,0,0,0,117,0,0,0,8
68776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
61997,0,0,0,2,0,0,0,11,0,0,0,1,0,0,0,42,0,0,0,6
66342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
6085,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,44,0,0,1,1
19702,0,0,0,0,1,0,0,31,0,0,1,0,0,0,0,65,0,0,0,14
6191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30287,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,4
66959,0,0,0,0,3,0,0,23,0,0,6,2,1,0,0,295,0,0,0,16
65269,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,6,1,0,6,6
25513,0,0,0,0,0,0,0,13,0,0,2,0,0,0,0,25,0,0,0,6
14608,0,0,0,0,0,0,0,22,0,0,0,0,0,0,1,53,0,0,0,11
78,0,0,0,0,0,2,0,4,0,0,0,2,0,2,0,46,1,0,0,7
2340,0,0,0,1,0,1,0,13,0,0,0,0,0,0,0,34,0,0,0,5
18326,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,41,0,0,1,7
67796,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,9,0,0,0,6
48515,0,0,0,3,0,1,0,9,0,0,4,0,0,0,0,90,0,0,0,8
4428,0,0,1,1,0,0,0,17,0,1,2,0,0,0,0,94,0,0,0,10
61959,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,8,0,0,0,5
19549,0,0,1,0,0,1,0,42,0,0,1,0,0,1,0,162,0,0,0,20
67861,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,7,2,0,0,0
37690,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,1
35930,0,0,0,2,1,0,0,14,0,0,0,0,0,0,1,53,0,0,0,21
54789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
37339,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2
16082,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,0,0,0,4
54711,0,0,0,6,0,0,0,27,0,0,0,0,0,0,0,86,0,0,0,20
41450,0,0,0,3,1,0,0,34,0,0,6,0,0,0,0,49,0,0,0,4
13406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0
24523,0,0,0,2,0,0,0,15,0,1,0,1,0,0,0,47,0,0,0,13
32774,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,24,0,0,1,6
67456,0,0,0,0,0,0,1,15,0,0,2,0,0,0,0,72,0,0,0,4
26929,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,30,0,0,0,8
63060,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,15,0,0,0,5
28842,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,0,1
67774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
1171,0,0,0,2,0,0,1,8,0,0,0,0,0,0,0,36,0,0,0,11
37476,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
29955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25195,0,0,0,1,0,0,0,46,0,0,1,1,0,0,0,127,0,0,0,14
28814,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0
68251,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,11,0,0,0,0
17796,1,0,0,1,0,0,0,9,0,0,2,0,0,0,0,51,0,0,0,17
44503,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,12,0,0,0,3
67298,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,2
33045,0,0,0,1,1,1,0,22,0,0,0,0,0,0,0,65,0,0,0,20
61639,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,52,0,0,0,7
10546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1
1943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
58660,0,0,1,1,0,0,1,63,0,0,1,0,0,1,0,147,0,0,0,14
35995,0,0,2,0,0,0,0,13,0,0,0,0,0,0,0,42,0,1,0,7
58177,0,0,0,0,0,0,1,34,0,0,2,0,0,0,0,153,0,0,0,1
6139,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,43,0,0,0,9
70832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
62188,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,34,0,0,0,9
3231,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
3836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
18801,0,0,0,3,1,0,0,5,0,0,0,0,0,0,0,18,0,0,0,3
36596,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,14,0,0,0,2
28369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
52415,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,7,0,0,0,3
25985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0
68871,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
48368,0,0,0,0,0,1,0,10,0,0,1,1,0,0,0,10,0,0,0,4
