188	6	GABA-ergic Neuron	2	-	0.8081053
189	6	GABA-ergic Neuron	2	-	0.6873860
190	4	Glutamatergic Neuron	3	-	0.9981751
191	2	Glutamatergic Neuron	3	-	0.8705145
192	2	Glutamatergic Neuron	3	-	0.9114945
193	6	GABA-ergic Neuron	2	-	0.9817330
194	6	GABA-ergic Neuron	2	-	0.9808639
195	6	GABA-ergic Neuron	2	-	0.7190153
196	6	GABA-ergic Neuron	2	-	0.9842481
197	6	Astrocyte	0	-	0.4065224
198	2	Glutamatergic Neuron	3	-	0.9242563
199	4	Glutamatergic Neuron	3	-	0.9774855
200	2	Glutamatergic Neuron	3	-	0.9284744
201	6	Endothelial Cell	1	-	0.5902081
202	6	Glutamatergic Neuron	3	-	0.5111614
203	6	GABA-ergic Neuron	2	-	0.8207327
204	6	GABA-ergic Neuron	2	-	0.3502005
205	4	GABA-ergic Neuron	2	-	0.5519861
206	2	GABA-ergic Neuron	2	-	0.8050383
207	2	Astrocyte	0	-	0.9232309
208	2	Glutamatergic Neuron	3	-	0.9823251
209	2	Glutamatergic Neuron	3	-	0.9950967
210	2	Glutamatergic Neuron	3	-	0.7635916
211	2	GABA-ergic Neuron	2	-	0.9925554
212	6	Glutamatergic Neuron	3	-	0.9255398
213	6	Glutamatergic Neuron	3	-	0.9864311
214	6	GABA-ergic Neuron	2	-	0.7499141
215	6	GABA-ergic Neuron	2	-	0.6766011
216	2	GABA-ergic Neuron	2	-	0.3832143
217	2	Glutamatergic Neuron	3	-	0.9654031
218	2	GABA-ergic Neuron	2	-	0.9989951
219	2	Glutamatergic Neuron	3	-	0.9608234
220	6	GABA-ergic Neuron	2	-	0.9884584
221	2	GABA-ergic Neuron	2	-	0.6007369
222	2	GABA-ergic Neuron	2	-	0.7689651
223	4	Glutamatergic Neuron	3	-	0.9044580
224	4	Glutamatergic Neuron	3	-	0.9966003
225	4	Glutamatergic Neuron	3	-	0.9949951
226	4	Glutamatergic Neuron	3	-	0.9849404
227	4	GABA-ergic Neuron	2	-	0.5358306
228	4	Glutamatergic Neuron	3	-	0.9976282
229	4	Glutamatergic Neuron	3	-	0.8913920
230	6	Glutamatergic Neuron	3	-	0.7791007
231	2	Glutamatergic Neuron	3	-	0.5543077
232	2	GABA-ergic Neuron	2	-	0.9980749
233	2	GABA-ergic Neuron	2	-	0.5937059
234	4	Astrocyte	0	-	0.5391327
235	4	Glutamatergic Neuron	3	-	0.9964230
236	2	Glutamatergic Neuron	3	-	0.7853481
237	2	GABA-ergic Neuron	2	-	0.8933545
238	2	Astrocyte	0	-	0.6271580
239	2	GABA-ergic Neuron	2	-	0.9716356
240	6	Glutamatergic Neuron	3	-	0.7389141
241	2	Glutamatergic Neuron	3	-	0.8413607
242	4	Glutamatergic Neuron	3	-	0.7886174
243	2	Glutamatergic Neuron	3	-	0.7591734
244	7	Microglia	4	-	0.7998312
245	4	Glutamatergic Neuron	3	-	0.9993523
246	2	Glutamatergic Neuron	3	-	0.9587383
247	5	Glutamatergic Neuron	3	-	0.9706352
248	5	Glutamatergic Neuron	3	-	0.9418509
249	7	Glutamatergic Neuron	3	-	0.9595924
250	7	GABA-ergic Neuron	2	-	0.7890347
251	7	Astrocyte	0	-	0.6392248
252	4	Glutamatergic Neuron	3	-	0.9998191
253	9	Glutamatergic Neuron	3	-	0.9968526
254	9	Glutamatergic Neuron	3	-	0.8319864
255	4	GABA-ergic Neuron	2	-	0.8720479
256	6	GABA-ergic Neuron	2	-	0.5184344
257	6	GABA-ergic Neuron	2	-	0.9726830
258	4	Glutamatergic Neuron	3	-	0.9981778
259	4	Glutamatergic Neuron	3	-	0.9795804
260	4	Glutamatergic Neuron	3	-	0.9955619
261	4	Glutamatergic Neuron	3	-	0.8101433
262	1	GABA-ergic Neuron	2	-	0.4228713
263	9	Glutamatergic Neuron	3	-	0.9982967
264	4	Glutamatergic Neuron	3	-	0.9968894
265	2	Glutamatergic Neuron	3	-	0.9518609
266	1	Astrocyte	0	-	0.7559176
267	4	Glutamatergic Neuron	3	-	0.9953310
268	4	Glutamatergic Neuron	3	-	0.9937260
269	4	Glutamatergic Neuron	3	-	0.9005980
270	4	Glutamatergic Neuron	3	-	0.9871462
271	2	Glutamatergic Neuron	3	-	0.9981675
272	4	Glutamatergic Neuron	3	-	0.9986615
273	4	Glutamatergic Neuron	3	-	0.9990756
274	4	Glutamatergic Neuron	3	-	0.9969348
275	2	Glutamatergic Neuron	3	-	0.9859849
